,2021-12-21,2021-10-04,2021-09-28,2021-10-27,2022-01-27,2021-09-01,2021-09-14,2021-10-20,2021-04-20,2021-06-22,2021-10-18,2021-11-09,2021-09-19,2021-11-23,2021-05-17,2021-11-10,2021-10-05,2021-11-30,2022-02-08,2021-06-07,2021-08-26
Initial Price,,138.93722534179688,141.70318603515625,148.63308715820312,,152.28773498535156,147.9041290283203,149.04248046875,132.49212646484375,133.5845947265625,146.33642578125,150.80999755859375,,161.41000366210938,125.89735412597656,147.9199981689453,140.90435791015625,165.3000030517578,,125.52845001220705,147.32498168945312
60 days label,,True,True,True,,False,True,True,False,True,True,True,,True,True,True,True,True,,True,True
60 days,,155.40830216841263,154.50029767569848,160.21252602025083,,148.64033228556315,150.0762491861979,158.89255151083304,131.0091517130534,145.87481206258138,158.38354085286457,163.28413812045395,,168.66947374845805,136.12518221537272,163.72964314052038,155.71332210964627,170.9546661376953,,141.5827194213867,147.8952323913574
5 days label,,True,False,True,,True,False,False,True,False,True,False,,False,False,True,True,False,,True,True
5 days,,141.48151245117188,141.3996337890625,149.82134704589845,,154.22691040039064,146.7737823486328,148.86074523925782,132.89822692871093,133.4011474609375,148.33151245117188,149.31799926757813,,161.14000244140624,125.33900756835938,149.3559997558594,142.21444396972657,164.1980010986328,,126.27224731445312,150.50035095214844
20 days label,,True,True,True,,False,False,True,False,True,True,True,,True,False,True,True,True,,True,True
20 days,,145.49715347290038,143.91695861816407,152.23829956054686,,148.42987060546875,143.9638885498047,149.73648529052736,129.62858924865722,140.4443000793457,149.43046646118165,158.15450057983398,,168.66947374845805,125.71638984680176,159.36800079345704,145.9874382019043,170.9546661376953,,131.48830947875976,149.6311180114746
10 days label,,True,True,True,,False,False,True,True,True,True,True,,True,False,True,True,True,,True,True
10 days,,142.0197280883789,141.80703887939453,150.3645980834961,,151.9781921386719,146.12073822021483,149.34104614257814,132.68522033691406,135.7501968383789,148.97457885742188,153.0520004272461,,163.2570007324219,125.5573600769043,154.11200103759765,142.75964813232423,169.7,,128.1955535888672,152.51940460205077
