,2021-06-22,2021-08-17,2021-08-26,2021-08-30,2021-09-01,2021-09-14,2021-09-20,2021-09-28,2021-10-04,2021-10-05
Initial Price,133.5845947265625,149.97113037109375,147.32498168945312,152.8968505859375,152.28773498535156,147.9041290283203,142.731689453125,141.70318603515625,138.93722534179688,140.90435791015625
60 days label,True,False,True,False,False,True,True,True,True,True
60 days,145.87481206258138,147.55315984090169,147.8952323913574,148.3262585957845,148.64033228556315,150.0762491861979,151.97112884521485,154.50029767569848,155.40830216841263,155.71332210964627
5 days label,False,False,True,False,True,False,True,False,True,True
5 days,133.4011474609375,148.01398315429688,150.50035095214844,152.85890502929686,154.22691040039064,146.7737823486328,144.98240356445314,141.3996337890625,141.48151245117188,142.21444396972657
20 days label,True,True,True,False,False,False,True,True,True,True
20 days,140.4443000793457,150.43993911743163,149.6311180114746,149.43889770507812,148.42987060546875,143.9638885498047,142.9164192199707,143.91695861816407,145.49715347290038,145.9874382019043
10 days label,True,False,True,False,False,False,True,True,True,True
10 days,135.7501968383789,148.6220932006836,152.51940460205077,152.7570571899414,151.9781921386719,146.12073822021483,143.8131103515625,141.80703887939453,142.0197280883789,142.75964813232423
